temperature,vibration,current,failure
70,6,12,0
79,3,17,1
61,9,13,1
57,7,6,0
40,8,14,1
59,2,17,1
100,8,16,1
45,1,7,0
89,9,19,1
53,4,16,1
41,6,18,1
51,1,19,1
69,4,12,0
65,7,14,0
49,4,9,0
80,4,11,1
36,1,18,1
82,7,9,1
58,2,6,0
85,5,18,1
41,1,12,0
60,8,9,1
86,2,13,1
34,1,11,0
34,6,8,0
90,6,12,1
54,9,10,1
48,9,6,1
96,5,15,1
49,6,6,0
30,3,8,0
98,3,9,1
63,5,7,0
51,4,20,1
97,7,7,1
83,7,18,1
48,3,10,0
47,9,7,1
63,7,16,1
62,3,9,0
85,8,19,1
84,4,14,1
99,9,9,1
48,1,12,0
38,1,19,1
61,2,15,0
87,3,8,1
71,6,7,0
64,6,13,0
90,5,11,1
39,9,11,1
96,9,6,1
99,7,13,1
98,1,14,1
40,1,6,0
83,6,18,1
31,10,5,1
91,6,20,1
97,7,20,1
83,3,18,1
57,8,14,1
95,3,18,1
76,10,12,1
81,2,5,1
58,5,14,0
91,2,9,1
50,8,11,1
63,6,6,0
95,7,13,1
52,2,19,1
49,1,15,0
34,1,19,1
73,6,5,0
96,2,20,1
93,7,15,1
32,3,14,0
31,10,19,1
76,10,9,1
54,10,11,1
57,1,12,0
38,10,15,1
56,4,15,0
79,4,11,1
77,9,8,1
31,7,12,0
78,10,7,1
52,2,20,1
53,7,16,1
75,7,17,1
86,2,5,1
68,6,20,1
91,2,5,1
45,1,17,1
31,3,17,1
95,2,8,1
93,2,19,1
39,8,7,1
31,9,10,1
91,8,20,1
44,2,12,0
67,8,10,1
51,3,10,0
90,8,18,1
95,4,9,1
39,9,19,1
54,10,12,1
98,7,5,1
74,10,17,1
87,4,10,1
96,3,17,1
78,10,17,1
94,9,19,1
80,9,18,1
47,10,10,1
47,6,9,0
84,3,5,1
43,8,8,1
52,9,20,1
79,8,13,1
99,8,9,1
68,10,18,1
50,8,6,1
60,9,14,1
65,6,11,0
83,6,18,1
87,5,13,1
55,4,10,0
46,7,17,1
78,8,19,1
38,9,13,1
30,4,10,0
68,5,18,1
54,5,18,1
62,2,14,0
36,7,20,1
54,4,11,0
31,9,13,1
75,10,7,1
52,2,9,0
95,10,17,1
97,4,14,1
90,4,7,1
86,10,14,1
87,3,8,1
39,4,10,0
76,9,16,1
49,3,5,0
31,2,6,0
39,8,9,1
72,4,20,1
57,6,17,1
54,1,17,1
48,7,13,0
73,10,9,1
64,1,15,0
44,7,8,0
33,2,9,0
57,6,8,0
82,10,8,1
64,6,18,1
98,1,7,1
67,8,17,1
86,3,12,1
60,3,5,0
71,3,13,0
94,3,7,1
80,1,17,1
40,5,8,0
83,10,14,1
75,5,18,1
89,10,10,1
58,7,13,0
30,7,10,0
91,3,11,1
39,5,7,0
71,5,10,0
61,8,10,1
95,10,12,1
62,2,5,0
56,2,12,0
83,9,6,1
93,5,6,1
76,6,12,1
53,2,15,0
97,4,9,1
35,10,20,1
30,3,11,0
53,8,15,1
57,1,13,0
73,7,14,0
69,9,19,1
91,7,5,1
85,2,16,1
80,1,10,1
90,6,12,1
61,5,19,1
44,9,5,1
96,2,8,1
72,3,16,1
58,2,8,0
71,3,15,0
54,6,16,1
99,6,11,1
32,3,15,0
94,3,11,1
95,9,20,1
56,8,14,1
31,6,17,1
55,5,15,0
91,7,12,1
86,5,6,1
59,7,17,1
45,5,17,1
84,9,18,1
82,7,8,1
87,8,11,1
42,8,8,1
80,1,20,1
89,4,11,1
74,4,8,0
96,10,15,1
46,8,10,1
64,2,19,1
75,9,6,1
56,5,19,1
62,7,6,0
54,8,19,1
100,10,7,1
93,6,16,1
85,10,5,1
37,9,6,1
59,1,5,0
93,5,7,1
100,9,10,1
98,3,7,1
54,4,11,0
38,9,20,1
51,10,20,1
64,9,11,1
53,10,16,1
99,8,10,1
36,7,11,0
93,1,10,1
63,10,18,1
65,10,13,1
45,9,8,1
32,2,12,0
96,9,11,1
98,5,5,1
46,8,6,1
77,6,16,1
30,10,10,1
77,9,18,1
85,7,13,1
94,1,7,1
84,4,17,1
42,1,13,0
56,1,13,0
38,4,7,0
52,1,19,1
50,4,19,1
90,4,17,1
37,10,10,1
60,6,13,0
38,8,14,1
48,6,17,1
65,8,13,1
95,9,16,1
67,10,7,1
48,6,8,0
75,5,9,0
98,6,14,1
56,4,19,1
70,8,17,1
32,3,14,0
89,1,17,1
93,4,17,1
30,10,16,1
